Market,Order Region,Category Name,Shipping Mode,total_orders,avg_days_variance,late_delivery_rate_pct,cancellation_rate_pct,total_sales,total_profit,total_losses
Africa,West Africa,Golf Gloves,Standard Class,16,0.1,37.5,6.25,959.58,139.55,-47.72
LATAM,South America,Lacrosse,Standard Class,16,0,37.5,0,2624.49,132.6,-350.09
Pacific Asia,South Asia,Garden,First Class,16,1,100,0,8521.28,1386.39,-328.13
USCA,East of USA,Hockey,Standard Class,16,0.2,43.75,0,1143,229.34,-10.51
Pacific Asia,Southeast Asia,Children's Clothing,Second Class,16,1.6,75,0,5713.6,-479.99,-1529.2
Europe,Eastern Europe,Accessories,Second Class,16,2.6,87.5,0,1524.39,194.25,-69.84
Pacific Asia,Eastern Asia,Music,Second Class,16,1.9,87.5,0,4170.4,-175.92,-900.59
LATAM,Central America,Baseball & Softball,First Class,16,1,100,0,1944.63,262.29,-260.26
USCA,Canada,Camping & Hiking,First Class,16,1,93.75,6.25,4799.68,-948.97,-1766.24
USCA,West of USA,Hockey,Standard Class,16,-0.6,25,0,1190,95.48,-238.44
Africa,Southern Africa,Electronics,Standard Class,16,-0.1,37.5,0,2039.48,237.97,-142.47
LATAM,Caribbean,Girls' Apparel,First Class,16,1,87.5,6.25,1764.92,486.35,-4.73
Europe,Northern Europe,Trade-In,Second Class,15,2.1,66.67,6.67,1341.66,153.54,-45.27
Africa,North Africa,Electronics,Second Class,15,1.9,80,6.67,1787.57,-175.01,-500.04
LATAM,Central America,Boxing & MMA,Second Class,15,2.1,80,0,3588.72,1119.77,0
Africa,East Africa,Women's Apparel,Same Day,15,0.3,26.67,6.67,2000,341.85,-138.11
Pacific Asia,Central Asia,Indoor/Outdoor Games,Second Class,15,2,86.67,0,2199.12,374.61,-161.14
USCA,East of USA,Baseball & Softball,Standard Class,15,0.7,46.67,6.67,2284.54,-214.27,-672.98
Pacific Asia,Oceania,Baby,Standard Class,15,0.1,46.67,0,886.2,149.64,-7.5
LATAM,Central America,Hunting & Shooting,Second Class,15,2.5,93.33,0,1736.56,108.35,-291.36
Africa,West Africa,Trade-In,Standard Class,15,0.2,46.67,0,745.56,216.25,0
Europe,Western Europe,Books,Same Day,15,0.9,86.67,0,466.2,-14.57,-109.78
Pacific Asia,South Asia,Video Games,Same Day,15,0.6,60,0,596.25,142.44,-62.84
Pacific Asia,Central Asia,Fishing,Second Class,15,2.6,93.33,0,5999.7,227.77,-1095.57
Pacific Asia,South Asia,Health and Beauty,First Class,15,1,93.33,0,4395.6,68.67,-743.08
Pacific Asia,Oceania,Trade-In,Second Class,15,2,80,6.67,751.59,10.88,-116.92
LATAM,South America,Tennis & Racquet,Standard Class,15,0.3,60,6.67,2609.42,687.64,0
Europe,Northern Europe,Consumer Electronics,Second Class,15,1.7,60,6.67,3793.2,568.34,-199
LATAM,Caribbean,Accessories,Second Class,15,1.9,86.67,0,1149.54,-96.33,-266.5
USCA,East of USA,Accessories,Second Class,15,1.8,66.67,0,1149.54,-47.25,-307.32
Pacific Asia,West Asia,Accessories,First Class,15,1,100,0,1074.57,76.75,-121.8
Pacific Asia,Oceania,Accessories,First Class,15,1,93.33,0,1124.55,224.87,-43.94
USCA,Canada,Shop By Sport,Second Class,15,1.9,80,0,1959.57,311.79,-33.42
Africa,Central Africa,Cleats,Same Day,15,0.5,46.67,0,2879.52,700.72,-15.88
Pacific Asia,Eastern Asia,Women's Clothing,First Class,15,1,93.33,0,3237.3,452.18,-307.42
Africa,Southern Africa,Shop By Sport,First Class,15,1,100,0,1599.6,290.76,0
Africa,Southern Africa,Camping & Hiking,Second Class,15,1.6,60,6.67,4499.7,242.38,-450.8
Europe,Eastern Europe,Camping & Hiking,Same Day,15,0.3,26.67,0,4499.7,142.43,-854.34
Europe,Southern Europe,Golf Apparel,Standard Class,15,0.1,33.33,0,1309.75,63.36,-69.76
Pacific Asia,South Asia,Sporting Goods,First Class,15,1,100,0,4916.25,622.42,-259.58
Europe,Eastern Europe,Electronics,First Class,15,1,93.33,0,2000.51,233.41,-229.28
Pacific Asia,South Asia,Golf Balls,Second Class,15,2,60,6.67,688.64,44.97,-111.34
Pacific Asia,Southeast Asia,Golf Balls,Second Class,15,1.9,86.67,0,825.51,140.92,-3.62
Europe,Northern Europe,Hockey,Standard Class,15,-0.3,26.67,0,1373.98,-668.04,-896.27
Africa,West Africa,Electronics,Second Class,15,2.3,73.33,0,1976.52,-125.35,-510.84
Pacific Asia,South Asia,Baseball & Softball,Standard Class,15,-0.5,26.67,0,2449.45,434.12,-59.75
Europe,Western Europe,Baseball & Softball,First Class,15,1,93.33,0,2269.73,155.16,-263.26
Europe,Western Europe,Cameras,Same Day,15,0.5,46.67,6.67,6780.6,-239.62,-1256.49
Pacific Asia,Eastern Asia,Crafts,First Class,14,1,92.86,0,6460.72,804.09,-740.1
USCA,West of USA,Golf Balls,Second Class,14,2.1,78.57,0,810.53,-35.14,-211.17
Pacific Asia,Oceania,Electronics,Same Day,14,0.6,50,0,1223.62,245.1,-2.82
USCA,US Center,Baseball & Softball,Standard Class,14,-0.2,28.57,14.29,2734.44,528.63,-97.9
USCA,West of USA,Fitness Accessories,Standard Class,14,-0.3,21.43,0,1294.63,217.5,-54.16
Africa,West Africa,Camping & Hiking,Same Day,14,0.3,28.57,0,4199.72,470.07,-438.13
Europe,Southern Europe,Women's Golf Clubs,Standard Class,14,-0.2,28.57,7.14,2869.75,302.83,-250.61
Europe,Eastern Europe,Golf Gloves,Standard Class,14,0.4,57.14,0,754.62,-4.47,-106.84
Africa,East Africa,Indoor/Outdoor Games,Same Day,14,0.5,50,0,1899.24,355.29,-40.14
USCA,West of USA,Electronics,Same Day,14,0.5,50,0,1316.66,132.27,-167.84
Pacific Asia,Central Asia,Shop By Sport,Standard Class,14,0.2,50,0,1799.55,-85.17,-339.4
LATAM,Central America,Lacrosse,Second Class,14,1.9,78.57,0,1524.57,-237.37,-444.4
Africa,Southern Africa,Fishing,Second Class,14,2.4,78.57,0,5599.72,1286.85,-96
Europe,Western Europe,CDs,First Class,14,1,100,0,158.06,18.7,-14.97
Europe,Western Europe,Hockey,Second Class,14,2.1,92.86,0,2017.97,491.92,-49.43
LATAM,South America,Golf Gloves,Second Class,14,1.6,64.29,7.14,1614.6,-414,-701.06
Pacific Asia,Eastern Asia,Crafts,Second Class,14,1.9,71.43,0,6460.72,530.51,-850.8
Europe,Southern Europe,Hunting & Shooting,Standard Class,14,0.1,50,0,2654.73,269.07,-98.01
LATAM,Caribbean,Golf Shoes,Standard Class,14,-0.4,21.43,0,2776,156.13,-238.68
Pacific Asia,Oceania,Tennis & Racquet,Standard Class,14,0.1,28.57,0,1754.61,281.31,-152.88
USCA,West of USA,Accessories,First Class,14,1,78.57,0,1249.5,7.35,-232.84
USCA,Canada,Fishing,First Class,14,1,92.86,7.14,5599.72,753.31,-300.63
LATAM,Caribbean,Accessories,First Class,14,1,100,0,1074.57,195.36,-68.14
Europe,Southern Europe,Boxing & MMA,Standard Class,14,0.1,35.71,7.14,2999.34,257.16,-467.75
Europe,Western Europe,Boxing & MMA,Second Class,14,1.6,71.43,0,3764.48,274.32,-581.61
Africa,East Africa,Accessories,Standard Class,14,-0.1,42.86,0,1224.51,110.85,-92.12
Pacific Asia,South Asia,Accessories,Second Class,14,2.4,71.43,7.14,924.63,220.5,-9
Pacific Asia,Eastern Asia,Golf Balls,Second Class,14,2.1,92.86,0,716.59,105.27,-32.79
Europe,Western Europe,Women's Golf Clubs,First Class,14,1,92.86,7.14,2859.73,257,-327.94
Africa,Southern Africa,Water Sports,First Class,14,1,92.86,0,2799.86,-118.68,-592.69
LATAM,South America,Boxing & MMA,First Class,14,1,92.86,7.14,2969.25,-779.39,-1471.54
LATAM,Caribbean,Golf Apparel,Standard Class,14,-0.5,28.57,0,1179.62,138.85,-85.62
Europe,Western Europe,Golf Apparel,First Class,13,1,100,0,1209.77,-2.08,-263.23
LATAM,South America,Fitness Accessories,Standard Class,13,-0.1,46.15,0,1224.65,44.85,-221.89
Pacific Asia,Oceania,DVDs,Second Class,13,2.2,69.23,0,2136.94,649.97,0
USCA,East of USA,Golf Shoes,Standard Class,13,0.8,61.54,7.69,3445,595.54,-91.93
LATAM,South America,Women's Golf Clubs,Standard Class,13,-0.2,30.77,0,3459.68,62.74,-523.31
Pacific Asia,Eastern Asia,Baseball & Softball,Standard Class,13,-0.1,38.46,7.69,1889.61,36.36,-289.42
USCA,Canada,Shop By Sport,First Class,13,1,92.31,0,1339.68,94.71,-132.18
Pacific Asia,Southeast Asia,Girls' Apparel,Second Class,13,2.4,76.92,7.69,1399.97,307.95,-56.25
Europe,Western Europe,Hockey,First Class,13,1,100,0,1719.97,216.59,-191.27
Africa,Southern Africa,Indoor/Outdoor Games,First Class,13,1,92.31,0,1949.22,380.29,-14.54
Africa,Central Africa,Girls' Apparel,Standard Class,13,0.5,53.85,0,1759.95,142.74,-92.47
LATAM,Central America,Lacrosse,First Class,13,1,100,0,1674.63,356.68,-79.17
USCA,Canada,Electronics,Standard Class,13,0.1,46.15,0,1680.57,-103.26,-500.9
Europe,Southern Europe,Lacrosse,Standard Class,13,-0.7,15.38,0,2474.58,387.95,-395.37
Africa,West Africa,Hockey,Standard Class,13,-0.1,46.15,0,853,-30.07,-187.03
Europe,Western Europe,Basketball,First Class,13,1,84.62,0,5299.87,-52.38,-870.24
Africa,North Africa,Girls' Apparel,Standard Class,13,0.2,38.46,0,1459.98,315.52,-44.62
LATAM,Caribbean,Hunting & Shooting,Standard Class,13,-0.4,15.38,0,1634.66,176.94,-129.84
Europe,Eastern Europe,Golf Balls,Second Class,13,1.4,61.54,0,611.66,124.55,-11.95
Pacific Asia,Oceania,Women's Clothing,Same Day,13,0.5,46.15,7.69,2805.66,590.28,-167.48
Europe,Southern Europe,Accessories,First Class,13,1,100,0,974.61,242.49,0
Europe,Western Europe,Strength Training,Second Class,13,2.2,76.92,0,4900.96,1571.47,-2.51
USCA,US Center,Accessories,First Class,13,1,100,0,774.69,115.65,-91.45
Pacific Asia,Eastern Asia,Health and Beauty,Second Class,13,1.5,61.54,0,3809.52,-155.99,-709.78
LATAM,Central America,Golf Gloves,Same Day,13,0.4,38.46,0,1824.71,-509.28,-862.29
Europe,Western Europe,Consumer Electronics,Same Day,13,0.5,46.15,7.69,3287.44,701.97,0
Pacific Asia,Central Asia,Women's Apparel,Second Class,13,1.7,76.92,0,2300,365.76,-257.25
Europe,Southern Europe,Books,Second Class,13,2.5,84.62,0,404.04,52.63,-35.72
Europe,Western Europe,Trade-In,First Class,13,1,92.31,7.69,2087.76,206.4,-246.66
Europe,Southern Europe,DVDs,Second Class,12,1.7,91.67,0,1972.56,-91.99,-335.18
Pacific Asia,Oceania,DVDs,First Class,12,1,100,0,1972.56,147.55,-174.37
Europe,Western Europe,Electronics,Same Day,12,0.5,50,0,1593.63,-118.58,-392.39
Europe,Western Europe,As Seen on  TV!,Standard Class,12,0,25,0,3099.69,500.02,-228.46
Pacific Asia,Southeast Asia,Consumer Electronics,First Class,12,1,91.67,8.33,3034.56,537.84,-76.72
Pacific Asia,South Asia,Golf Gloves,First Class,12,1,91.67,8.33,859.68,158.86,-19.88
Pacific Asia,South Asia,Toys,First Class,12,1,100,0,138.48,31.07,0
USCA,West of USA,Golf Gloves,Second Class,12,2.2,83.33,8.33,829.68,4.12,-217.06
USCA,West of USA,Trade-In,Second Class,12,1.8,66.67,0,651.63,177.88,0
Europe,Northern Europe,Crafts,Second Class,12,2.1,66.67,25,5537.76,82.18,-1024.36
Pacific Asia,Southeast Asia,Boxing & MMA,Standard Class,12,-0.1,33.33,0,1374.25,-72.03,-271.55
Africa,Central Africa,Accessories,Standard Class,12,-0.4,33.33,0,874.65,204.64,-27.71
LATAM,Caribbean,Golf Balls,Second Class,12,2.2,83.33,0,577.66,148.21,-2.25
USCA,US Center,Golf Balls,Second Class,12,1.9,75,0,719.57,86.55,-90.15
Pacific Asia,South Asia,CDs,Standard Class,12,0.1,41.67,0,135.48,28.48,-1.6
Europe,Northern Europe,Books,Same Day,12,0.8,75,0,372.96,-41.49,-94.26
Europe,Western Europe,Hunting & Shooting,Second Class,12,1.9,75,0,1685.77,351.99,-25.69
Pacific Asia,Southeast Asia,Men's Clothing,First Class,12,1,100,0,2530.2,160.55,-388.36
USCA,West of USA,Lacrosse,Standard Class,12,0.3,41.67,0,774.69,87.31,-98.11
Africa,East Africa,Water Sports,Same Day,12,0.8,75,0,2399.88,70.19,-303.92
Africa,Southern Africa,Accessories,Standard Class,12,-0.2,33.33,0,1099.56,52.74,-235.4
Pacific Asia,Eastern Asia,Men's Clothing,First Class,12,1,91.67,8.33,2530.2,-668.84,-1070.29
Europe,Northern Europe,Golf Gloves,First Class,12,1,91.67,0,1879.72,151.04,-419.13
Africa,Southern Africa,Cardio Equipment,First Class,12,1,100,0,3199.68,891.97,-62.89
LATAM,Central America,Girls' Apparel,Same Day,12,0.7,66.67,8.33,2019.91,280.84,-64.62
Europe,Southern Europe,Computers,First Class,12,1,100,0,18000,1162.11,-2232
Africa,West Africa,Girls' Apparel,Standard Class,12,0.8,66.67,0,1494.99,323.24,0
Africa,North Africa,Water Sports,Same Day,12,0.4,41.67,0,2399.88,44.02,-443.88
Europe,Eastern Europe,Trade-In,Standard Class,12,-0.1,50,0,745.59,-128.13,-217.14
Europe,Southern Europe,Golf Balls,Second Class,12,2,91.67,0,704.61,101.48,-70.73
Pacific Asia,Southeast Asia,Crafts,First Class,12,1,83.33,16.67,5537.76,528.72,-657.61
USCA,East of USA,Hunting & Shooting,Standard Class,12,0.6,58.33,0,929.69,-18.5,-118.04
USCA,South of  USA,Golf Gloves,Standard Class,12,-0.7,16.67,0,1319.55,285.59,0
Europe,Southern Europe,Soccer,Standard Class,12,-0.2,41.67,0,2454.71,280.49,-30.31
LATAM,South America,Baseball & Softball,First Class,12,1,100,0,1869.68,239.68,-194.47
Europe,Northern Europe,Baseball & Softball,Standard Class,12,0.2,41.67,0,2299.6,322.88,-201.83
LATAM,South America,Golf Shoes,Second Class,12,2.3,91.67,8.33,3438,357.72,-339.37
Pacific Asia,South Asia,Crafts,Second Class,12,2.2,83.33,0,5537.76,89.9,-1133.7
USCA,East of USA,Girls' Apparel,Second Class,12,1.8,75,0,1414.96,-4.09,-319.36
Pacific Asia,South Asia,Women's Clothing,First Class,12,1,100,0,2589.84,656.46,-5.95
Africa,Southern Africa,Camping & Hiking,Same Day,12,0.9,75,8.33,3599.76,968.59,0
LATAM,Central America,Women's Golf Clubs,Second Class,12,2.4,83.33,0,2509.74,830.46,0
Africa,Central Africa,Indoor/Outdoor Games,Same Day,12,0.4,41.67,0,1799.28,358.36,-36.24
Pacific Asia,South Asia,Children's Clothing,Standard Class,12,0.1,50,0,4285.2,303.2,-596.87
USCA,South of  USA,Baseball & Softball,Standard Class,12,-0.8,16.67,0,1429.67,352.06,0
Africa,North Africa,Trade-In,Standard Class,12,-0.1,25,0,629.61,148.4,-37.61
Europe,Western Europe,Soccer,Second Class,12,2.9,91.67,0,2119.78,-124.92,-469.12
USCA,Canada,Fishing,Second Class,12,2.9,91.67,0,4799.76,1406.66,0
Pacific Asia,Eastern Asia,Electronics,First Class,12,1,100,0,1085.71,193.03,-61.74
Pacific Asia,Oceania,Children's Clothing,Standard Class,12,-0.2,33.33,0,4285.2,504.2,-533.46
Pacific Asia,Southeast Asia,Tennis & Racquet,Standard Class,12,0.8,58.33,0,1619.64,-28.82,-355.17
Europe,Western Europe,Women's Golf Clubs,Second Class,12,1.5,58.33,0,2779.77,-3.96,-340.29
Africa,East Africa,Golf Balls,Standard Class,11,0.5,45.45,9.09,640.66,72.91,-103.62
LATAM,Caribbean,Trade-In,Second Class,11,2.2,90.91,0,757.71,197.41,-5.91
LATAM,South America,Hockey,First Class,11,1,90.91,9.09,580,65.1,-57.63
Pacific Asia,Eastern Asia,Books,Standard Class,11,-0.4,18.18,0,341.88,-76.91,-119.79
Europe,Northern Europe,Crafts,First Class,11,1,90.91,9.09,5076.28,68.88,-1103.39
Europe,Northern Europe,Women's Golf Clubs,Standard Class,11,-0.5,36.36,0,2869.71,680.89,0
Africa,Southern Africa,Women's Apparel,Same Day,11,0.8,72.73,9.09,1550,192.97,-158.4
LATAM,South America,Hunting & Shooting,Second Class,11,1.7,54.55,0,1175.82,-31.99,-148.28
Europe,Northern Europe,Lacrosse,Standard Class,11,0.2,36.36,0,1874.64,447.46,0
USCA,Canada,Cardio Equipment,Second Class,11,2.5,90.91,0,3899.61,897.07,-21.42
Africa,Southern Africa,Camping & Hiking,First Class,11,1,100,0,3299.78,417.16,-256.59
Pacific Asia,Oceania,Girls' Apparel,First Class,11,1,90.91,9.09,1199.96,26.15,-250.21
Europe,Northern Europe,DVDs,Second Class,11,1.9,63.64,0,1808.18,-136.03,-390.4
USCA,South of  USA,Trade-In,Standard Class,11,0.4,54.55,0,589.65,109.41,-15.13
Africa,Southern Africa,Men's Footwear,Second Class,11,1.8,81.82,0,1429.89,155.24,-148.65
Africa,North Africa,Accessories,Second Class,11,2.3,81.82,0,874.65,129.62,-41.12
USCA,West of USA,Girls' Apparel,Same Day,11,0.5,54.55,0,1249.97,109.12,-139.65
LATAM,Central America,Boxing & MMA,First Class,11,1,90.91,9.09,1539.16,286.92,-76.01
Pacific Asia,Eastern Asia,Golf Apparel,Standard Class,11,0.2,36.36,0,579.71,-29.46,-106.47
LATAM,Central America,Accessories,Same Day,11,0.5,54.55,0,824.67,184.29,0
Pacific Asia,Southeast Asia,Golf Apparel,Standard Class,11,0.3,54.55,9.09,679.66,101.76,-64.78
USCA,East of USA,Accessories,First Class,11,1,100,0,749.7,165.1,-23.55
LATAM,Central America,Hockey,Second Class,11,1.8,54.55,9.09,727,17.51,-128.98
Europe,Western Europe,Boxing & MMA,First Class,11,1,100,0,2799.31,512.57,-116.72
Pacific Asia,Southeast Asia,Electronics,Same Day,11,0.2,18.18,0,1713.6,345.67,-123.06
Pacific Asia,Oceania,Golf Gloves,Second Class,11,2,81.82,0,724.74,239.67,-1.67
Pacific Asia,Southeast Asia,Girls' Apparel,First Class,11,1,100,0,1559.94,288.75,-36.5
LATAM,Caribbean,Golf Gloves,First Class,11,1,100,0,1129.65,150.27,-40
Pacific Asia,South Asia,Pet Supplies,First Class,11,1,100,0,928.4,192.97,-52.59
Europe,Western Europe,Baseball & Softball,Second Class,11,2.5,72.73,0,1644.73,446.32,-25.19
Europe,Western Europe,Golf Apparel,Second Class,11,1.6,63.64,0,839.73,118.28,-26.23
USCA,US Center,Girls' Apparel,Second Class,11,1.5,81.82,0,1099.97,90.69,-122.51
Pacific Asia,South Asia,Hockey,Standard Class,11,0.6,63.64,0,956,-28.62,-224.16
LATAM,Central America,Golf Apparel,First Class,11,1,100,0,1089.82,230.76,-21.75
LATAM,Central America,Men's Golf Clubs,First Class,11,1,100,0,1539.87,425.43,0
Africa,Central Africa,Men's Footwear,Same Day,11,0,0,0,1429.89,295.72,-89.85
Europe,Western Europe,Men's Golf Clubs,First Class,11,1,90.91,9.09,2149.8,567.07,-25.48
Europe,Northern Europe,Fitness Accessories,Standard Class,11,-0.7,9.09,0,2179.7,332.39,-99.43
LATAM,Caribbean,Boxing & MMA,Standard Class,11,0,36.36,0,2849.11,812.59,0
Pacific Asia,Oceania,Health and Beauty,First Class,11,1,100,0,3223.44,269.78,-463.96
Pacific Asia,Oceania,Health and Beauty,Second Class,11,1,63.64,0,3223.44,178.59,-556.21
Pacific Asia,Southeast Asia,Music,First Class,11,1,90.91,0,2867.15,746.23,0
Pacific Asia,West Asia,Fitness Accessories,Standard Class,11,0.4,36.36,0,1049.7,271.67,-14.35
Pacific Asia,Southeast Asia,Fitness Accessories,Standard Class,11,0.4,45.45,0,699.8,149.35,-3.7
Europe,Western Europe,Children's Clothing,Same Day,11,0.5,45.45,9.09,3928.1,76.6,-748.31
Africa,East Africa,Cleats,Same Day,11,0.5,54.55,0,1379.77,132.7,-202.14
Europe,Western Europe,Golf Bags & Carts,Standard Class,11,-0.5,36.36,0,1869.89,525.75,0
USCA,South of  USA,Electronics,First Class,11,1,100,0,1063.73,72.91,-185.8
Pacific Asia,Eastern Asia,Fitness Accessories,Standard Class,11,0.2,36.36,0,1049.7,-22.53,-306.27
Africa,North Africa,Camping & Hiking,Same Day,11,0.7,72.73,0,3299.78,569.56,-17.68
Europe,Northern Europe,Soccer,Standard Class,10,0.5,40,0,1699.81,414.99,-31.65
Africa,East Africa,Men's Footwear,Same Day,10,0.4,40,10,1299.9,-0.03,-286.63
Africa,North Africa,Accessories,First Class,10,1,100,0,924.63,180.98,-3.45
Pacific Asia,Eastern Asia,Consumer Electronics,Standard Class,10,0.4,60,0,2528.8,490.98,-126.11
Europe,Southern Europe,Accessories,Second Class,10,2.4,70,10,724.71,143.26,-41
Pacific Asia,Eastern Asia,Accessories,First Class,10,1,100,0,724.71,125.51,0
Pacific Asia,Southeast Asia,Women's Clothing,Same Day,10,0.6,60,0,2158.2,311.2,-100.6
Pacific Asia,South Asia,Garden,Second Class,10,1.7,70,0,5325.8,1074.64,-117.89
Europe,Eastern Europe,Baseball & Softball,Standard Class,10,-0.3,40,20,1359.74,168.41,-66.63
Europe,Southern Europe,Basketball,Standard Class,10,-0.4,30,0,2999.9,323.46,-436.49
Europe,Northern Europe,Accessories,Second Class,10,2.2,100,0,699.72,153.17,-31.03
Pacific Asia,South Asia,Baby,Standard Class,10,0.1,30,0,590.8,-125.8,-231.35
Pacific Asia,Eastern Asia,Garden,Same Day,10,0.6,60,0,5325.8,60.66,-744.39
USCA,US Center,Tennis & Racquet,Standard Class,10,0,40,0,1574.65,160.58,-120.37
Europe,Northern Europe,Tennis & Racquet,Standard Class,10,-0.1,40,0,1214.73,-192.46,-432.37
Europe,Northern Europe,Baby,Standard Class,10,-0.3,30,0,590.8,137.3,-12.58
Pacific Asia,Eastern Asia,Hockey,Standard Class,10,0.3,40,0,639,127.97,-13.56
USCA,West of USA,Trade-In,First Class,10,1,100,0,767.58,161.67,-30.4
Pacific Asia,West Asia,Trade-In,Second Class,10,2.5,100,0,503.7,12.63,-58.78
LATAM,Central America,Golf Balls,Same Day,10,0.2,20,0,468.72,70.18,-26.8
Pacific Asia,Southeast Asia,Video Games,Same Day,10,0.2,20,0,397.5,14.03,-60.82
Pacific Asia,Central Asia,Indoor/Outdoor Games,Same Day,10,0.2,20,0,1549.38,231.75,-82.2
LATAM,Caribbean,Golf Gloves,Second Class,10,2.4,90,0,879.65,78.16,-33.26
LATAM,South America,Men's Golf Clubs,Second Class,10,2.5,70,10,1469.87,259.82,-142.43
Africa,Southern Africa,Indoor/Outdoor Games,Same Day,10,0.8,70,10,1299.48,137.16,-91.52
Pacific Asia,West Asia,Hunting & Shooting,Standard Class,10,0.7,60,0,749.75,97.25,-34.86
Europe,Eastern Europe,Golf Balls,First Class,10,1,90,10,540.7,51.55,-63.2
Pacific Asia,Central Asia,Indoor/Outdoor Games,First Class,10,1,100,0,1449.42,112.05,-157.89
Pacific Asia,South Asia,Boxing & MMA,Standard Class,10,-0.3,30,0,1594.13,373.61,-38.48
Pacific Asia,Southeast Asia,Consumer Electronics,Second Class,10,1.9,90,0,2528.8,338.98,-318.63
Pacific Asia,Southeast Asia,Golf Balls,First Class,10,1,100,0,365.79,79.46,0
Europe,Western Europe,Strength Training,First Class,10,1,100,0,4122.97,1527.7,0
Africa,Southern Africa,Shop By Sport,Second Class,10,0.9,40,0,919.77,46.19,-120.81
USCA,South of  USA,Girls' Apparel,Second Class,10,1.9,90,0,1354.94,-1.91,-205.32
Africa,East Africa,Cardio Equipment,Same Day,10,0.3,30,0,3649.65,684.81,-200.08
Europe,Southern Europe,Kids' Golf Clubs,First Class,10,1,90,10,2917.67,3.75,-492.53
Pacific Asia,Eastern Asia,Toys,Same Day,10,0.4,30,10,115.4,13.09,-13.09
USCA,East of USA,Golf Balls,First Class,10,1,100,0,562.67,37.61,-79.62
Pacific Asia,South Asia,Music,Second Class,10,1.9,70,0,2606.5,774.12,-3.15
Europe,Northern Europe,Kids' Golf Clubs,Second Class,10,1.9,70,10,2198.78,168.37,-181.64
Africa,Southern Africa,Cardio Equipment,Second Class,10,2.2,60,10,3099.69,392.78,-340.87
USCA,US Center,Golf Balls,First Class,10,1,100,0,423.74,92.01,-1.92
Pacific Asia,Oceania,Lacrosse,Standard Class,10,0.8,70,0,849.66,120.67,0
LATAM,Central America,Hunting & Shooting,Same Day,10,0.8,70,10,1691.7,-27.2,-257.61
USCA,US Center,Golf Balls,Same Day,10,0.4,40,0,584.67,-65.79,-173.47
Pacific Asia,South Asia,Men's Clothing,Second Class,10,1.8,80,0,2108.5,-189.24,-436.93
Pacific Asia,South Asia,Golf Shoes,Standard Class,10,0.6,60,0,2535,449.67,-87.75
USCA,East of USA,Electronics,Same Day,10,0.4,40,0,1119.65,273.72,-33.67
LATAM,Central America,As Seen on  TV!,Standard Class,10,0.2,50,0,3099.69,310.4,-323.17
USCA,US Center,Golf Gloves,Second Class,9,2,66.67,11.11,604.71,62.73,-28.12
Pacific Asia,Central Asia,Men's Footwear,Same Day,9,0.1,11.11,0,1169.91,-9.87,-255.48
Pacific Asia,South Asia,CDs,First Class,9,1,77.78,22.22,101.61,14.6,-7.12
Pacific Asia,Eastern Asia,Golf Gloves,Second Class,9,1.8,88.89,0,599.7,-159.57,-261.1
LATAM,Caribbean,Fitness Accessories,Standard Class,9,-0.2,33.33,0,769.78,-31.68,-99.26
Pacific Asia,Oceania,Fitness Accessories,Standard Class,9,0.4,33.33,0,594.83,-18.68,-149.06
Pacific Asia,Central Asia,Cleats,First Class,9,1,100,0,1739.71,432.97,-5.81
LATAM,Caribbean,Soccer,Standard Class,9,-0.3,33.33,0,1469.85,-109.13,-391.81
Pacific Asia,Central Asia,Women's Apparel,Same Day,9,0.2,22.22,0,1350,102.98,-117.3
Europe,Western Europe,Golf Shoes,Same Day,9,0.6,55.56,0,1869,175.85,-151.64
Europe,Northern Europe,Boxing & MMA,Second Class,9,2.4,77.78,0,2599.55,-687.67,-800.69
Pacific Asia,South Asia,Hockey,Second Class,9,3.1,88.89,0,780,-95.13,-208.13
Pacific Asia,Eastern Asia,Children's Clothing,Second Class,9,2.6,66.67,11.11,3213.9,785.61,-8.28
Pacific Asia,Southeast Asia,Hockey,First Class,9,1,100,0,579,143.53,0
Pacific Asia,West Asia,Girls' Apparel,Second Class,9,1.8,66.67,0,684.98,65.4,-55.92
Europe,Northern Europe,Girls' Apparel,First Class,9,1,100,0,1039.89,254.09,-16.5
Pacific Asia,Oceania,Hockey,Second Class,9,2.1,77.78,11.11,460,-10.45,-50.25
Africa,North Africa,Baseball & Softball,Standard Class,9,0.4,44.44,0,1474.7,434.94,0
Pacific Asia,West Asia,Golf Shoes,Standard Class,9,-1,0,0,1885,-461.25,-745.88
Pacific Asia,Oceania,Baby,Same Day,9,0.8,77.78,0,531.72,-124.7,-215.12
Pacific Asia,Southeast Asia,Computers,Second Class,9,2,88.89,0,13500,1347.38,-2092.5
Europe,Western Europe,Kids' Golf Clubs,Same Day,9,0.7,55.56,0,2288.72,495.29,-45.35
Pacific Asia,South Asia,Golf Gloves,Second Class,9,1.4,77.78,0,639.78,-123.05,-170.77
USCA,East of USA,Girls' Apparel,First Class,9,1,100,0,899.99,142.66,-66.91
Pacific Asia,Southeast Asia,Music,Same Day,9,0.7,55.56,11.11,2345.85,564.24,0
Pacific Asia,South Asia,Girls' Apparel,First Class,9,1,88.89,0,1399.91,290.53,-113.1
Pacific Asia,Eastern Asia,Baby,Second Class,9,2.1,66.67,0,531.72,158.93,0
Africa,Southern Africa,Cardio Equipment,Same Day,9,0.4,22.22,22.22,2429.76,-341.52,-884.36
